Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5,Q6,Q7,Q8,Q17_1,Q17_2,Q17_3,Q17_4,Q18,Q9
Yes,Somewhat easy,Somewhat difficult,Somewhat easy,Extremely difficult,Extremely easy,Somewhat easy,Yes,Somewhat easy,Extremely easy,Extremely easy,Somewhat easy,Somewhat easy,Somewhat easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Not applicable because notebook had to stay in the lab.,Increase in confidence,Increase in confidence,Increase in confidence,Increase in confidence,Helped,Unsure
Yes,Neither easy nor difficult,Somewhat difficult,Somewhat difficult,Extremely difficult,Neither easy nor difficult,Somewhat difficult,No,Somewhat easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,Increase in confidence,Increase in confidence,Increase in confidence,Increase in confidence,Helped,Yes
Yes,Somewhat easy,Extremely easy,Extremely easy,Neither easy nor difficult,Neither easy nor difficult,Somewhat easy,No,Somewhat easy,Somewhat easy,Somewhat easy,Extremely easy,Extremely easy,Somewhat easy,Paper,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,No change,Increase in confidence,Increase in confidence,No change,Neither,Yes
Yes,Extremely easy,Somewhat easy,Extremely easy,Somewhat difficult,Somewhat easy,Somewhat easy,No,Extremely easy,Somewhat easy,Extremely easy,Somewhat difficult,Somewhat easy,Somewhat easy,Paper,"Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Monthly,Increase in confidence,No change,No change,No change,Neither,Yes
Yes,Somewhat easy,Somewhat easy,Somewhat difficult,Somewhat difficult,Somewhat difficult,Neither easy nor difficult,No,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original source of protocols,Signature of researcher,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,Increase in confidence,Increase in confidence,Increase in confidence,Increase in confidence,Helped,Yes
Unsure,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,No,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,Signature of researcher,Signature of supervisor",Weekly,Increase in confidence,Increase in confidence,Increase in confidence,Increase in confidence,Helped,Yes
Yes,Extremely easy,Somewhat easy,Somewhat difficult,Extremely difficult,Somewhat difficult,Somewhat easy,No,Somewhat easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original source of protocols,Signature of researcher,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,No change,No change,Increase in confidence,No change,Neither,Yes
Yes,Extremely easy,Somewhat difficult,Somewhat difficult,Somewhat difficult,Somewhat difficult,Somewhat difficult,Yes,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original source of protocols,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,Increase in confidence,Increase in confidence,Increase in confidence,Increase in confidence,Helped,Yes
Yes,Somewhat easy,Somewhat difficult,Neither easy nor difficult,Somewhat difficult,Somewhat easy,Somewhat easy,No,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,References for original source of protocols,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,References for original sources of protocols,Signature of supervisor",Monthly,Increase in confidence,No change,Increase in confidence,Increase in confidence,Helped,Yes
Yes,Somewhat easy,Extremely easy,Extremely easy,Extremely difficult,Neither easy nor difficult,Somewhat difficult,Yes,Somewhat easy,Somewhat easy,Somewhat easy,Extremely difficult,Somewhat easy,Somewhat difficult,Paper,"Title,Purpose or goal,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis","Description of experimental procedures,Paragraph-format discussion",Weekly,No change,Increase in confidence,Increase in confidence,Increase in confidence,Hindered,No
Yes,Extremely easy,Somewhat easy,Neither easy nor difficult,Somewhat easy,Extremely easy,Somewhat easy,Yes,Somewhat easy,Extremely easy,Extremely easy,Somewhat easy,Somewhat easy,Somewhat easy,Paper,"Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Signature of researcher,Signature of supervisor",Weekly,Increase in confidence,Increase in confidence,No change,No change,Helped,Yes
Yes,Extremely easy,Neither easy nor difficult,Neither easy nor difficult,Extremely difficult,Neither easy nor difficult,Somewhat easy,Yes,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original source of protocols,Signature of researcher,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,Increase in confidence,Increase in confidence,Increase in confidence,Increase in confidence,Helped,Yes
Yes,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Yes,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,Signature of supervisor",Weekly,No change,No change,No change,No change,Neither,Yes
Yes,Somewhat difficult,Somewhat difficult,Somewhat difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,No,Somewhat easy,Somewhat easy,Extremely easy,Somewhat easy,Somewhat easy,Somewhat easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,Increase in confidence,Increase in confidence,Increase in confidence,Increase in confidence,Helped,Yes
Yes,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Yes,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original source of protocols,Signature of researcher,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,Increase in confidence,Increase in confidence,Increase in confidence,Increase in confidence,Helped,Yes
Yes,Extremely easy,Extremely easy,Extremely easy,Somewhat easy,Somewhat easy,Somewhat easy,No,Extremely easy,Extremely easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Explanation of how data does or does not fit hypothesis","Title,Purpose or goal,Description of experimental procedures,Raw data",Weekly,No change,Increase in confidence,Increase in confidence,Increase in confidence,Helped,Yes
Yes,Extremely easy,Somewhat easy,Somewhat difficult,Extremely difficult,Somewhat difficult,Somewhat easy,Yes,Somewhat difficult,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat difficult,Paper,"Title,Description of experimental procedures,Raw data,Description of data,References for original source of protocols","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Explanation of how data does or does not fit hypothesis,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,No change,Decrease in confidence,No change,No change,Hindered,Yes
Yes,Somewhat difficult,Somewhat difficult,Extremely easy,Extremely difficult,Somewhat difficult,Neither easy nor difficult,No,Somewhat difficult,Extremely easy,Extremely easy,Extremely easy,Somewhat easy,Somewhat easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original source of protocols,Signature of researcher,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Not applicable because notebook had to stay in the lab.,No change,Increase in confidence,No change,No change,Helped,Yes
Yes,Somewhat difficult,Somewhat easy,Somewhat easy,Extremely difficult,Neither easy nor difficult,Neither easy nor difficult,No,Neither easy nor difficult,Somewhat easy,Somewhat easy,Somewhat difficult,Neither easy nor difficult,Neither easy nor difficult,Paper,"Description of experimental procedures,Raw data,Signature of researcher","Description of experimental procedures,Raw data,Description of data,Signature of researcher,Signature of supervisor",Daily,No change,No change,No change,No change,Neither,No
Yes,Extremely easy,Neither easy nor difficult,Somewhat easy,Somewhat difficult,Somewhat easy,Somewhat easy,No,Extremely easy,Somewhat easy,Somewhat easy,Extremely easy,Extremely easy,Extremely easy,Electronic,"Title,Purpose or goal,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion","Title,Purpose or goal,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,Increase in confidence,Increase in confidence,Increase in confidence,Increase in confidence,Helped,Yes
Yes,Somewhat easy,Somewhat difficult,Somewhat easy,Somewhat difficult,Somewhat easy,Somewhat easy,Yes,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat difficult,Electronic,"Title,Purpose or goal,Description of experimental procedures,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Daily,Increase in confidence,Increase in confidence,Increase in confidence,Increase in confidence,Helped,Yes
Yes,Extremely easy,Extremely easy,Somewhat easy,Somewhat easy,Extremely easy,Extremely easy,No,Extremely difficult,Extremely difficult,Somewhat easy,Neither easy nor difficult,Extremely difficult,Extremely difficult,Paper,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Daily,Decrease in confidence,Decrease in confidence,Decrease in confidence,Decrease in confidence,Hindered,No
Yes,Somewhat difficult,Somewhat easy,Extremely easy,Neither easy nor difficult,Somewhat easy,Somewhat difficult,No,Somewhat difficult,Extremely easy,Extremely easy,Somewhat difficult,Neither easy nor difficult,Somewhat difficult,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original source of protocols,Signature of researcher,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,No change,Increase in confidence,Increase in confidence,No change,Hindered,No
Yes,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Extremely difficult,Neither easy nor difficult,No,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Extremely easy,Somewhat easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original source of protocols,Signature of researcher,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,No change,Increase in confidence,Increase in confidence,Increase in confidence,Neither,Yes
Yes,Somewhat difficult,Somewhat difficult,Somewhat difficult,Somewhat difficult,Somewhat difficult,Somewhat difficult,No,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original source of protocols,Signature of researcher,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,Increase in confidence,Increase in confidence,Increase in confidence,Increase in confidence,Helped,Yes
Yes,Extremely easy,Extremely easy,Extremely easy,Somewhat easy,Extremely easy,Somewhat easy,No,Extremely easy,Extremely easy,Extremely easy,Somewhat easy,Extremely easy,Somewhat easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original source of protocols,Signature of researcher,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Weekly,,,,,,
No,Somewhat easy,Extremely easy,Extremely easy,Somewhat difficult,Somewhat easy,Somewhat easy,,,,,,,,,,,,,,,,,
Yes,Somewhat easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Somewhat easy,No,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Extremely easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Monthly,,,,,,
Yes,Somewhat easy,Neither easy nor difficult,Extremely easy,Somewhat difficult,Extremely difficult,Neither easy nor difficult,No,Somewhat easy,Somewhat easy,Extremely easy,Somewhat easy,Somewhat easy,Somewhat easy,Electronic,"Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original source of protocols,Signature of researcher,Signature of supervisor","Title,Purpose or goal,Description of experimental procedures,Raw data,Description of data,Publication-quality images,Explanation of how data does or does not fit hypothesis,Paragraph-format discussion,References for original sources of protocols,Signature of researcher,Signature of supervisor",Daily,,,,,,
